lag_days,r,err,p_local,n_pairs,corr_method,shuffle_method,pc_column,p_global,p_zero_local,p_zero_global,segment_id,segment_label,segment_start,segment_end,segment_center,n_spin_points,n_pc_points
-140.0,-0.3015826780921519,0.3022514397435156,0.4725274725274725,1000,pearson,circular,PC1,0.23576423576423577,0.3916083916083916,1.0,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
-120.0,-0.16487669817599054,0.29904992658119667,0.6963036963036963,1000,pearson,circular,PC1,0.23576423576423577,0.3916083916083916,1.0,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
-100.0,-0.02334525438979359,0.29743595572140574,0.961038961038961,1000,pearson,circular,PC1,0.23576423576423577,0.3916083916083916,1.0,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
-80.0,0.04245405397913383,0.29877857608136366,0.932067932067932,1000,pearson,circular,PC1,0.23576423576423577,0.3916083916083916,1.0,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
-60.0,-0.03893475516179838,0.29995481963384774,0.939060939060939,1000,pearson,circular,PC1,0.23576423576423577,0.3916083916083916,1.0,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
-40.0,-0.1674544586858096,0.2980288578114425,0.7022977022977023,1000,pearson,circular,PC1,0.23576423576423577,0.3916083916083916,1.0,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
-20.0,-0.2565211221953664,0.2959921678671113,0.5364635364635365,1000,pearson,circular,PC1,0.23576423576423577,0.3916083916083916,1.0,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
0.0,-0.3352280119152661,0.29547024639610614,0.3916083916083916,1000,pearson,circular,PC1,0.23576423576423577,0.3916083916083916,1.0,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
20.0,-0.3424554638363878,0.2947691792358222,0.35864135864135865,1000,pearson,circular,PC1,0.23576423576423577,0.3916083916083916,1.0,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
40.0,-0.2928625796227494,0.2938028514386473,0.47152847152847155,1000,pearson,circular,PC1,0.23576423576423577,0.3916083916083916,1.0,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
60.0,-0.28114841652976097,0.29302787829821647,0.4875124875124875,1000,pearson,circular,PC1,0.23576423576423577,0.3916083916083916,1.0,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
