MJD,PC1,PC2,PC3,dataset
50536.623,-0.21143358206814586,0.740878313818466,-2.4077123071397577,AFB
50581.762,0.34711971025424626,-0.3421034880227325,-0.2393266776782396,AFB
50594.596,-0.21271061812709652,0.13777374661560934,-0.05761914435586999,AFB
50606.475,-0.5280059233319175,0.30790902522180874,-0.716144649279187,AFB
50610.76,-0.7341528676720566,1.0588538062805397,-0.7982435478794928,AFB
50639.698,0.5884941370663073,5.055525306317392,2.0708920397698285,AFB
50642.265,0.6933312271613428,4.3813380371321005,2.2861153086279855,AFB
50674.219,0.13412665919781183,1.0578502929917113,-0.6785010044900792,AFB
50675.344,0.2590592945529719,0.898740921630844,-0.6273887433891514,AFB
50682.48,0.9909822943230348,0.04597967426956259,-0.06251515795397826,AFB
50684.416,1.038849179096581,0.19374603347357727,-0.18827322410382857,AFB
50686.41,1.1560125622913575,0.5057352978087459,-0.18075835313911331,AFB
50700.272,1.8662540827382117,0.8303187643000093,0.6521318522367454,AFB
50711.443,1.0479074149980112,0.34836354074353293,-0.41659364397652743,AFB
50713.182,0.889417175078695,0.2759591901755272,-0.7320264273487322,AFB
50717.25,0.8171296747465526,0.8535827909328245,-1.0932817627438247,AFB
50719.394,0.4592629496679276,1.149811027327932,-1.7689365178142158,AFB
50720.019,0.4065845289957364,1.3096692369620047,-1.9418728530742648,AFB
50721.182,0.5537344116134051,1.480999586957056,-1.407405792303586,AFB
50723.515,0.9183961327419857,0.58938874262561,-0.6470276249756923,AFB
50724.398,0.986024989082404,0.3888559862125023,-0.4115995950376787,AFB
50725.469,1.0805303384839207,0.307331172179843,-0.2693932009120545,AFB
50726.084,1.0434409052680145,0.31829070162980705,-0.22638045223479242,AFB
50728.246,1.2247667964159084,0.20655612340353777,0.2125552544245083,AFB
50756.136,0.4072643302386999,3.0404192377060473,-0.6408934347303178,AFB
50760.091,-0.01678682156336875,4.004133955014197,0.2882793168775264,AFB
50762.148,-0.15286303416831226,3.589178834562641,0.2539472713692908,AFB
