MJD,nudot,nudot_err,delta_glitch
50346.06827,-1263.5833017339933,0.002137413259904406,-0.1129608886446901
50347.06827,-1263.580510287443,0.002132788177418761,-0.1129608886446901
50348.06827,-1263.577748583095,0.0021283483597684654,-0.1129608886446901
50349.06827,-1263.5750153088675,0.0021240854820481145,-0.1129608886446901
50350.06827,-1263.5723091541481,0.0021199906856826625,-0.1129608886446901
50351.06827,-1263.569628797882,0.002116054726697712,-0.1129608886446901
50352.06827,-1263.56697292077,0.0021122680406189514,-0.1129608886446901
50353.06827,-1263.5643402037374,0.0021086208863731223,-0.1129608886446901
50354.06827,-1263.5617293265493,0.0021051034157211347,-0.1129608886446901
50355.06827,-1263.559138970756,0.0021017057925199517,-0.1129608886446901
50356.06827,-1263.5565678284752,0.0020984182994743016,-0.1129608886446901
50357.06827,-1263.554014587396,0.0020952314214806953,-0.1129608886446901
50358.06827,-1263.5514779508737,0.0020921359469092834,-0.1129608886446901
50359.06827,-1263.5489566197093,0.0020891230727443947,-0.1129608886446901
50360.06827,-1263.5464493187105,0.002086184467328775,-0.1129608886446901
50361.06827,-1263.5439547716337,0.0020833123713257544,-0.1129608886446901
50362.06827,-1263.5414717211936,0.002080499648989079,-0.1129608886446901
50363.06827,-1263.538998921265,0.0020777398893060527,-0.1129608886446901
50364.06827,-1263.5365351421353,0.0020750274564715105,-0.1129608886446901
50365.06827,-1263.5340791748047,0.0020723575268655277,-0.1129608886446901
50366.06827,-1263.5316298249663,0.002069726168046809,-0.1129608886446901
50367.06827,-1263.5291859178296,0.002067130364137413,-0.1129608886446901
50368.06827,-1263.5267463033576,0.0020645680572620273,-0.1129608886446901
50369.06827,-1263.524309854348,0.002062038178222547,-0.1129608886446901
50370.06827,-1263.5218754684975,0.0020595406492182333,-0.1129608886446901
50371.06827,-1263.5194420691212,0.0020570764242303446,-0.1129608886446901
50372.06827,-1263.517008604459,0.002054647470755536,-0.1129608886446901
50373.06827,-1263.5145740600506,0.002052256768324202,-0.1129608886446901
50374.06827,-1263.5121374431078,0.002049908323006147,-0.1129608886446901
50375.06827,-1263.5096977991043,0.0020476071046431022,-0.1129608886446901
50376.06827,-1263.5072542046707,0.00204535904583982,-0.1129608886446901
50377.06827,-1263.5048057727188,0.0020431710259354754,-0.1129608886446901
50378.06827,-1263.5023516534081,0.0020410507833859247,-0.1129608886446901
50379.06827,-1263.499891030948,0.0020390069115615336,-0.1129608886446901
50380.06827,-1263.4974231323702,0.0020370487535666323,-0.1129608886446901
50381.06827,-1263.4949472255757,0.0020351863967963046,-0.1129608886446901
50382.06827,-1263.492462618523,0.0020334305351264992,-0.1129608886446901
50383.06827,-1263.4899686581834,0.0020317924627010053,-0.1129608886446901
50384.06827,-1263.487464744053,0.00203028392861766,-0.1129608886446901
50385.06827,-1263.4849503188495,0.0020289170767196596,-0.1129608886446901
50386.06827,-1263.4824248654813,0.0020277043574899053,-0.1129608886446901
50387.06827,-1263.4798879222303,0.002026658414702661,-0.1129608886446901
50388.06827,-1263.4773390724583,0.002025791990800323,-0.1129608886446901
50389.06827,-1263.474777947986,0.0020251178072188164,-0.1129608886446901
50390.06827,-1263.4722042337214,0.0020246484857635804,-0.1129608886446901
50391.06827,-1263.469617664972,0.0020243964132486735,-0.1129608886446901
50392.06827,-1263.4670180301675,0.0020243735990813304,-0.1129608886446901
50393.06827,-1263.4644051706825,0.0020245916691270754,-0.1129608886446901
50394.06827,-1263.461778981116,0.002025061627720832,-0.1129608886446901
50395.06827,-1263.4591394114454,0.0020257938373069474,-0.1129608886446901
50396.06827,-1263.4564864643123,0.0020267978696512537,-0.1129608886446901
50397.06827,-1263.453820201477,0.0020280824205776834,-0.1129608886446901
50398.06827,-1263.4511407393607,0.0020296552134740037,-0.1129608886446901
50399.06827,-1263.4484482495934,0.002031522885625485,-0.1129608886446901
50400.06827,-1263.4457429655358,0.002033690929999458,-0.1129608886446901
50401.06827,-1263.443025172073,0.0020361636059100423,-0.1129608886446901
50402.06827,-1263.44029521207,0.002038943855548964,-0.1129608886446901
50403.06827,-1263.4375534917044,0.002042033270304821,-0.1129608886446901
50404.06827,-1263.4348004684398,0.002045432012279162,-0.1129608886446901
50405.06827,-1263.4320366612985,0.002049138775014855,-0.1129608886446901
50406.06827,-1263.4292626456938,0.002053150773210194,-0.1129608886446901
50407.06827,-1263.4264790520363,0.0020574637015626875,-0.1129608886446901
50408.06827,-1263.4236865721532,0.0020620717189755245,-0.1129608886446901
50409.06827,-1263.4208859544315,0.002066967467594239,-0.1129608886446901
50410.06827,-1263.418077997972,0.0020721420731289256,-0.1129608886446901
50411.06827,-1263.415263564507,0.0020775851497831115,-0.1129608886446901
50412.06827,-1263.4124435681024,0.0020832848575691454,-0.1129608886446901
50413.06827,-1263.409618980868,0.002089227940529823,-0.1129608886446901
50414.06827,-1263.406790824583,0.0020953997405152767,-0.1129608886446901
50415.06827,-1263.4039601736604,0.0021017843040455416,-0.1129608886446901
50416.06827,-1263.4011281637606,0.002108364410002989,-0.1129608886446901
50417.06827,-1263.3982959706811,0.0021151216746369056,-0.1129608886446901
50418.06827,-1263.3954648292472,0.0021220365795621954,-0.1129608886446901
50419.06827,-1263.3926360192777,0.0021290886261960077,-0.1129608886446901
